CRS,Name
ABW,Abbey Wood
ABE,Aber
ABD,Aberdeen
ABH,Aberystwyth
ACR,Acton Central
ADM,Adisham
AFK,Ashford International
AGT,Ashtead
AHD,Airdrie
AIG,Aigburth
ALV,Alvechurch
AMR,Amersham
ANG,Angmering
APD,Appledore
ARL,Arlesey
ASH,Ash
ATN,Acton Main Line
AVY,Aviemore
AYR,Ayr
BAD,Banstead
BAN,Banbury
BAT,Battersea Park
BCU,Bournemouth
BDM,Beadnell
BEC,Beckenham Junction
BHM,Birmingham New Street
BHI,Birmingham International
BKG,Barking
BMS,Birmingham Moor Street
BNY,Barnsley
BON,Bolton
BPW,Bristol Parkway
BRI,Bristol Temple Meads
BSK,Basingstoke
BTN,Brighton
BTH,Bath Spa
CAR,Carlisle
CBG,Cambridge
CBW,Camberwell
CDF,Cardiff Central
CHM,Chelmsford
CHX,London Charing Cross
CLJ,Clapham Junction
CLT,Cheltenham Spa
CMN,Carmarthen
CNR,Cannock
COV,Coventry
CRE,Crewe
CTK,City Thameslink
CTN,Chatham
DAR,Darlington
DBY,Derby
DEW,Dewsbury
DFD,Dartford
DIS,Diss
DON,Doncaster
DRH,Durham
DVP,Dover Priory
EAL,Ealing Broadway
EBN,Eastbourne
ECR,East Croydon
EDB,Edinburgh
ELY,Ely
EPH,Elephant & Castle
EUS,London Euston
EXD,Exeter St Davids
FLT,Flitwick
FST,London Fenchurch Street
GFD,Greenford
GLC,Glasgow Central
GLQ,Glasgow Queen Street
GMV,Great Malvern
GNW,Greenwich
GTW,Gatwick Airport
GUI,Guildford
HAY,Hayes & Harlington
HFD,Hereford
HGS,Hastings
HHB,Haywards Heath
HHY,Highbury & Islington
HIT,Hitchin
HMC,Hampton Court
HRH,Horsham
HUL,Hull
HWV,Headstone Lane
ILF,Ilford
INT,Iver
IPH,Ipswich
KGX,London Kings Cross
KNG,Kingston
KNT,Kensington Olympia
LBG,London Bridge
LBO,Loughborough
LDS,Leeds
LEI,Leicester
LIV,Liverpool Lime Street
LMS,Limehouse
LST,London Liverpool Street
LTN,Luton
LUT,Luton Airport Parkway
MAN,Manchester Piccadilly
MCO,Manchester Oxford Road
MCV,Manchester Victoria
MDE,Maidstone East
MHR,Malden Manor
MIK,Mill Hill Broadway
MKC,Milton Keynes Central
MOG,Moorgate
MYB,London Marylebone
NCL,Newcastle
NMP,Northampton
NNG,Norwood Junction
NRW,Norwich
NOT,Nottingham
NWX,New Cross
OXF,Oxford
PAD,London Paddington
PBO,Peterborough
PMH,Portsmouth Harbour
PMS,Portsmouth & Southsea
PRE,Preston
PUT,Putney
RAY,Raynes Park
RDG,Reading
RMD,Richmond
SAL,Salisbury
SAV,Savile Park
SBY,Shrewsbury
SDN,Swindon
SHF,Sheffield
SLO,Slough
SMK,Smethwick Rolfe Street
SOT,Southampton Central
SPX,St Pancras International
SRA,Stratford
STE,Stevenage
STG,Stirling
STP,Stockport
SUR,Surbiton
SVG,Stevenage
SWI,Swinton
TAU,Taunton
TBD,Tunbridge Wells
TBW,Tunbridge Wells
TON,Tonbridge
TRU,Truro
VIC,London Victoria
WAT,London Waterloo
WBQ,Warrington Bank Quay
WFJ,Watford Junction
WIG,Wigan North Western
WIJ,Willesden Junction
WIM,Wimbledon
WKF,Wakefield Westgate
WOK,Woking
WVH,Wolverhampton
YRK,York
